[[17, 26, 5, 1957, 16, 24, 25, 29, 32, 36], [2065, 19, 1, 1985, 10, 16, 24, 25, 32, 36]]
[[25, 21, 7, 1957, 3, 6, 13, 22, 27, 33], [2251, 1, 11, 1986, 3, 13, 22, 27, 30, 33]]
[[41, 10, 11, 1957, 8, 19, 28, 30, 31, 47], [3624, 29, 12, 1999, 8, 19, 28, 31, 41, 47], [4789, 29, 12, 2009, 8, 16, 19, 30, 31, 47]]
[[54, 16, 2, 1958, 2, 8, 11, 39, 41, 45], [1270, 12, 6, 1977, 2, 7, 8, 11, 39, 41]]
[[56, 2, 3, 1958, 11, 14, 19, 22, 23, 25], [3337, 29, 3, 1997, 3, 11, 14, 22, 23, 25]]
[[61, 13, 4, 1958, 3, 15, 18, 35, 42, 43], [2711, 30, 3, 1991, 3, 18, 35, 36, 42, 43]]
[[71, 22, 6, 1958, 2, 14, 22, 44, 48, 49], [5256, 22, 12, 2012, 2, 14, 22, 43, 44, 48]]
[[74, 13, 7, 1958, 9, 16, 21, 24, 27, 35], [2501, 25, 3, 1989, 9, 16, 21, 22, 27, 35]]
[[76, 27, 7, 1958, 19, 21, 22, 25, 36, 44], [4077, 1, 5, 2004, 8, 21, 22, 25, 36, 44], [4144, 22, 12, 2004, 21, 22, 25, 26, 36, 44]]
[[77, 3, 8, 1958, 2, 4, 22, 31, 32, 43], [4880, 29, 7, 2010, 2, 4, 22, 30, 31, 32]]
[[79, 17, 8, 1958, 34, 35, 37, 38, 39, 45], [1186, 22, 8, 1976, 27, 34, 35, 38, 39, 45]]
[[80, 24, 8, 1958, 17, 21, 27, 35, 41, 49], [3593, 11, 9, 1999, 12, 17, 21, 35, 41, 49], [5243, 22, 11, 2012, 7, 17, 21, 27, 41, 49]]
[[98, 28, 12, 1958, 2, 22, 23, 33, 41, 43], [2674, 24, 11, 1990, 2, 22, 33, 41, 43, 46]]
[[103, 1, 2, 1959, 7, 11, 25, 34, 37, 45], [1887, 8, 5, 1983, 6, 11, 25, 34, 37, 45]]
[[112, 5, 4, 1959, 13, 26, 30, 32, 45, 46], [2380, 30, 1, 1988, 13, 26, 30, 32, 34, 46]]
[[119, 24, 5, 1959, 5, 17, 20, 23, 32, 34], [3447, 18, 4, 1998, 5, 9, 20, 23, 32, 34], [4617, 22, 11, 2008, 17, 20, 23, 32, 34, 48]]
[[125, 5, 7, 1959, 6, 23, 25, 29, 30, 34], [5924, 30, 3, 2017, 6, 18, 23, 25, 30, 34]]
[[131, 16, 8, 1959, 1, 2, 4, 5, 23, 36], [1175, 11, 7, 1976, 1, 2, 5, 12, 23, 36]]
[[134, 6, 9, 1959, 8, 13, 20, 21, 23, 26], [2188, 29, 3, 1986, 8, 13, 20, 21, 23, 31]]
[[151, 3, 1, 1960, 3, 6, 11, 15, 27, 48], [2311, 30, 5, 1987, 3, 6, 11, 15, 27, 34], [5114, 26, 1, 2012, 3, 6, 15, 27, 37, 48]]
[[163, 27, 3, 1960, 7, 18, 20, 25, 29, 46], [3254, 12, 6, 1996, 18, 20, 25, 29, 30, 46]]
[[166, 17, 4, 1960, 1, 14, 28, 34, 41, 43], [4855, 1, 6, 2010, 1, 14, 25, 28, 34, 41]]
[[175, 19, 6, 1960, 13, 14, 27, 31, 35, 40], [5316, 11, 5, 2013, 13, 14, 27, 30, 31, 35]]
[[185, 28, 8, 1960, 5, 9, 10, 29, 39, 41], [4725, 1, 8, 2009, 5, 9, 10, 20, 29, 39]]
[[206, 22, 1, 1961, 5, 15, 27, 37, 45, 48], [5410, 17, 12, 2013, 5, 15, 16, 27, 45, 48]]
[[207, 29, 1, 1961, 6, 14, 16, 26, 34, 42], [968, 9, 6, 1974, 6, 14, 24, 26, 34, 42]]
[[210, 19, 2, 1961, 3, 22, 23, 28, 40, 43], [5942, 11, 5, 2017, 3, 22, 23, 28, 38, 43]]
[[223, 21, 5, 1961, 2, 7, 9, 23, 26, 47], [5812, 12, 7, 2016, 2, 7, 9, 23, 42, 47]]
[[228, 25, 6, 1961, 12, 18, 21, 22, 30, 45], [3534, 17, 2, 1999, 12, 18, 22, 30, 38, 45]]
[[239, 10, 9, 1961, 7, 13, 18, 21, 23, 24], [631, 16, 2, 1969, 7, 12, 13, 18, 21, 24]]
[[242, 1, 10, 1961, 5, 14, 21, 26, 40, 44], [954, 7, 4, 1974, 5, 14, 21, 26, 35, 40]]
[[252, 10, 12, 1961, 5, 7, 17, 19, 36, 39], [1747, 3, 1, 1982, 5, 7, 17, 18, 19, 36]]
[[253, 17, 12, 1961, 7, 27, 32, 34, 36, 41], [3206, 27, 12, 1995, 7, 27, 30, 34, 36, 41], [4332, 11, 10, 2006, 7, 27, 34, 36, 41, 46]]
[[263, 25, 2, 1962, 2, 5, 8, 15, 22, 28], [6491, 12, 11, 2020, 3, 5, 8, 15, 22, 28]]
[[277, 3, 6, 1962, 12, 18, 25, 30, 32, 39], [4533, 10, 5, 2008, 3, 18, 25, 30, 32, 39]]
[[281, 1, 7, 1962, 5, 8, 22, 33, 39, 48], [4336, 25, 10, 2006, 1, 5, 22, 33, 39, 48]]
[[284, 22, 7, 1962, 6, 9, 30, 31, 34, 39], [6116, 21, 6, 2018, 6, 9, 22, 30, 34, 39]]
[[290, 2, 9, 1962, 1, 6, 10, 15, 28, 32], [5475, 17, 5, 2014, 1, 6, 12, 15, 28, 32]]
[[299, 4, 11, 1962, 17, 31, 37, 46, 47, 49], [2688, 12, 1, 1991, 17, 31, 35, 46, 47, 49]]
[[308, 6, 1, 1963, 9, 13, 19, 31, 35, 40], [6037, 19, 12, 2017, 9, 13, 31, 34, 35, 40]]
