5,Numer,Dzien,Miesiac,Rok,L1,L2,L3,L4,L5,L6
386,3256,19,6,1996,4,6,12,25,29,48
386,3948,5,2,2003,6,12,25,29,35,48
387,2461,5,11,1988,8,13,17,38,41,44
387,3269,3,8,1996,8,13,14,38,41,44
388,3290,16,10,1996,9,18,20,26,29,43
388,3618,8,12,1999,9,18,20,26,29,44
389,3298,13,11,1996,4,7,16,22,35,46
389,5744,4,2,2016,4,7,16,22,42,46
390,3311,28,12,1996,3,11,12,21,39,44
390,4455,10,11,2007,3,11,12,21,32,44
391,2023,25,8,1984,2,18,33,36,39,46
391,3321,1,2,1997,2,22,33,36,39,46
392,3327,22,2,1997,8,15,17,26,27,35
392,5483,5,6,2014,8,15,17,27,29,35
393,3330,5,3,1997,3,4,12,19,31,47
393,3389,27,9,1997,3,4,17,19,31,47
394,1814,29,8,1982,8,10,21,29,32,41
394,3331,8,3,1997,8,10,21,32,40,41
395,2390,5,3,1988,14,16,19,24,37,44
395,3333,15,3,1997,14,16,19,36,37,44
396,56,2,3,1958,11,14,19,22,23,25
396,3337,29,3,1997,3,11,14,22,23,25
397,1204,24,10,1976,2,7,15,17,22,40
397,3338,2,4,1997,7,15,17,22,40,45
398,2815,28,3,1992,4,17,28,38,40,42
398,3348,7,5,1997,4,26,28,38,40,42
399,2738,6,7,1991,1,17,18,23,38,48
399,3362,25,6,1997,1,17,18,23,27,48
400,1546,3,2,1980,14,15,24,26,42,49
400,3366,9,7,1997,9,14,15,26,42,49
401,2972,29,9,1993,3,4,17,19,20,31
401,3330,5,3,1997,3,4,12,19,31,47
401,3389,27,9,1997,3,4,17,19,31,47
402,694,12,4,1970,4,11,25,31,36,43
402,3391,4,10,1997,4,11,25,28,36,43
403,1332,15,1,1978,20,28,29,42,44,46
403,3398,29,10,1997,9,20,29,42,44,46
404,718,27,9,1970,19,24,26,35,42,45
404,3424,28,1,1998,19,24,26,32,35,42
405,2664,20,10,1990,20,27,32,33,43,46
405,3444,8,4,1998,13,27,32,33,43,46
406,119,24,5,1959,5,17,20,23,32,34
406,3447,18,4,1998,5,9,20,23,32,34
407,3463,13,6,1998,1,6,11,14,34,48
